transaction_id,customer_id,card_number_last4,card_type,transaction_date,transaction_time,amount,merchant_name,merchant_category,merchant_category_code,city,state,terminal_id,response_code,spending_pattern
TXN_00004466,CUST_000353,8704,Discover,2024-07-12,02:52:04,202.22,Theme Park,Entertainment,7832,Elizabeth,NJ,TRM_787175,00,high_spender
TXN_00002056,CUST_000508,1369,Visa,2024-07-12,07:40:19,131.51,Toll Road,Transportation,4111,San Diego,CA,TRM_874089,00,conservative
TXN_00004815,CUST_000627,8255,Discover,2024-07-12,08:42:27,59.01,Panera,Restaurant,5812,Scottsdale,AZ,TRM_411768,00,moderate
TXN_00004860,CUST_000226,6196,Mastercard,2024-07-12,13:11:34,158.65,Costco,Grocery,5411,Toledo,OH,TRM_452664,00,high_spender
TXN_00003889,CUST_000145,4092,Discover,2024-07-12,14:18:51,25.1,Target.com,Online Retail,5999,Orlando,FL,TRM_324750,65,moderate
TXN_00001040,CUST_000040,9033,American Express,2024-07-12,16:06:21,12.39,Duane Reade,Pharmacy,5912,Philadelphia,PA,TRM_134219,00,conservative
TXN_00000577,CUST_000093,0970,Visa,2024-07-12,18:11:51,72.71,Walgreens,Pharmacy,5912,Portsmouth,VA,TRM_547994,00,high_spender
TXN_00003641,CUST_000223,3232,Discover,2024-07-12,18:16:09,47.64,Pizza Hut,Restaurant,5814,Oakland,CA,TRM_505103,14,moderate
TXN_00004968,CUST_000206,6424,American Express,2024-07-12,18:48:03,29.24,BP,Gas Station,5542,Allentown,PA,TRM_792749,00,conservative
TXN_00003532,CUST_000396,6924,Visa,2024-07-12,18:50:14,389.62,Bank ATM,ATM,6011,Rockford,IL,TRM_638315,00,moderate
TXN_00000889,CUST_000305,2452,American Express,2024-07-12,21:50:24,555.35,Mall ATM,ATM,6011,Aurora,IL,TRM_219963,00,moderate
TXN_00001233,CUST_000413,6117,Visa,2024-07-12,22:03:11,331.61,Wayfair,Online Retail,5969,Gilbert,AZ,TRM_400556,00,high_spender
TXN_00000758,CUST_000476,9534,Visa,2024-07-13,07:32:42,178.06,Saks,Department Store,5311,Cincinnati,OH,TRM_253694,05,moderate
TXN_00004202,CUST_000308,0238,Visa,2024-07-13,08:19:22,116.05,Safeway,Grocery,5499,Roswell,GA,TRM_153574,00,high_spender
TXN_00003165,CUST_000105,9816,Mastercard,2024-07-13,10:56:29,183.36,Apple Store,Electronics,5045,Austin,TX,TRM_452964,00,high_spender
TXN_00002267,CUST_000709,5290,Discover,2024-07-13,11:37:56,221.27,Dental Office,Healthcare,8021,Rochester,NY,TRM_117889,00,conservative
TXN_00000781,CUST_000707,6005,Visa,2024-07-13,12:07:49,22.02,Domino's,Restaurant,5812,Sacramento,CA,TRM_245693,00,conservative
TXN_00000460,CUST_000352,2938,Visa,2024-07-13,12:38:09,42.99,McDonald's,Restaurant,5814,St. Petersburg,FL,TRM_499536,00,conservative
TXN_00000575,CUST_000053,5674,Discover,2024-07-13,13:38:55,39.37,Rite Aid,Pharmacy,5912,Roswell,GA,TRM_934563,00,conservative
TXN_00000104,CUST_000538,5589,Mastercard,2024-07-13,13:40:24,8.14,McDonald's,Restaurant,5814,Toms River,NJ,TRM_902505,00,moderate
TXN_00004602,CUST_000608,7109,Visa,2024-07-13,14:09:32,326.53,Zappos,Online Retail,5999,Gilbert,AZ,TRM_186096,00,high_spender
TXN_00002162,CUST_000688,8319,American Express,2024-07-13,14:25:40,53.27,McDonald's,Restaurant,5812,Peoria,IL,TRM_749367,00,conservative
TXN_00000242,CUST_000341,9152,American Express,2024-07-13,14:29:47,574.96,Medical Center,Healthcare,8011,Los Angeles,CA,TRM_819453,00,moderate
TXN_00002705,CUST_000214,4646,Discover,2024-07-13,16:20:07,6.07,Walmart,Grocery,5499,Corpus Christi,TX,TRM_510824,00,conservative
TXN_00000567,CUST_000690,7905,Discover,2024-07-13,16:23:34,221.96,Holiday Inn,Hotel,7011,Savannah,GA,TRM_104752,00,high_spender
TXN_00000628,CUST_000207,9875,Discover,2024-07-13,17:33:22,35.35,BP,Gas Station,5541,New York,NY,TRM_655690,00,moderate
TXN_00002796,CUST_000310,0617,Visa,2024-07-13,18:28:38,75.36,Walmart,Grocery,5499,Chicago,IL,TRM_191644,00,conservative
TXN_00002448,CUST_000404,8683,American Express,2024-07-13,19:33:00,69.13,Starbucks,Restaurant,5814,Cambridge,MA,TRM_918821,00,moderate
TXN_00004146,CUST_000794,8738,American Express,2024-07-13,19:38:42,227.82,Starbucks,Restaurant,5812,Hialeah,FL,TRM_672440,00,high_spender
TXN_00004038,CUST_000737,6955,Visa,2024-07-13,20:44:09,88.39,Public Transit,Transportation,4111,Scranton,PA,TRM_724478,00,conservative
TXN_00000144,CUST_000378,4680,Mastercard,2024-07-13,21:39:22,338.78,Public Transit,Transportation,4111,Columbus,OH,TRM_183094,00,high_spender
TXN_00002578,CUST_000745,1645,Mastercard,2024-07-13,21:57:11,72.55,Subway,Restaurant,5814,Chandler,AZ,TRM_605271,00,high_spender
TXN_00001282,CUST_000073,0537,Mastercard,2024-07-14,00:08:32,28.79,Bowling Alley,Entertainment,7841,Bakersfield,CA,TRM_617250,00,conservative
TXN_00004647,CUST_000211,8246,Mastercard,2024-07-14,01:03:13,512.68,JCPenney,Department Store,5311,Albany,NY,TRM_100597,00,high_spender
TXN_00002434,CUST_000119,7705,Discover,2024-07-14,05:03:54,114.17,McDonald's,Restaurant,5812,Peoria,IL,TRM_821238,00,high_spender
TXN_00004875,CUST_000309,1395,Mastercard,2024-07-14,11:43:34,117.35,Subway,Restaurant,5814,Vancouver,WA,TRM_329397,00,moderate
TXN_00000928,CUST_000315,7287,American Express,2024-07-14,12:01:14,1472.96,Macy's,Department Store,5399,Macon,GA,TRM_841982,00,moderate
TXN_00001845,CUST_000677,0964,Mastercard,2024-07-14,16:34:31,31.25,Sunoco,Gas Station,5541,Scranton,PA,TRM_522428,00,moderate
TXN_00003356,CUST_000217,4038,Visa,2024-07-14,16:58:25,435.25,Credit Union ATM,ATM,6012,Alexandria,VA,TRM_839656,00,moderate
TXN_00000735,CUST_000750,5157,American Express,2024-07-14,17:03:32,41.38,Bank ATM,ATM,6011,Cincinnati,OH,TRM_137636,00,conservative
TXN_00001266,CUST_000233,1364,American Express,2024-07-14,18:24:11,29.87,Olive Garden,Restaurant,5814,El Paso,TX,TRM_181024,00,conservative
TXN_00000256,CUST_000220,6643,Discover,2024-07-14,18:26:18,29.82,Target,Grocery,5499,Warren,MI,TRM_825839,00,conservative
TXN_00004913,CUST_000761,0190,Discover,2024-07-14,18:37:20,34.83,Mall ATM,ATM,6012,Tampa,FL,TRM_521528,00,moderate
TXN_00003168,CUST_000290,7786,Discover,2024-07-14,20:05:34,145.93,Concert Hall,Entertainment,7832,Parma,OH,TRM_291967,00,high_spender
TXN_00002627,CUST_000499,7016,Visa,2024-07-14,20:44:36,31.28,Starbucks,Restaurant,5812,Elgin,IL,TRM_362355,00,conservative
TXN_00002665,CUST_000242,4328,Discover,2024-07-14,20:59:11,130.66,Subway,Restaurant,5812,Grand Rapids,MI,TRM_209746,00,high_spender
TXN_00004380,CUST_000668,8400,Visa,2024-07-15,08:57:58,199.21,Zappos,Online Retail,5969,Warren,MI,TRM_298872,00,conservative
TXN_00000611,CUST_000180,1936,Discover,2024-07-15,09:08:51,192.62,BP,Gas Station,5542,Gilbert,AZ,TRM_367013,00,high_spender
TXN_00003636,CUST_000032,6665,Visa,2024-07-15,09:25:45,305.72,Whole Foods,Grocery,5499,Chicago,IL,TRM_324996,00,high_spender
TXN_00001665,CUST_000621,1778,American Express,2024-07-15,10:10:39,101.03,Domino's,Restaurant,5814,Parma,OH,TRM_526727,00,conservative
TXN_00004291,CUST_000117,8526,Visa,2024-07-15,11:09:20,134.6,Wayfair,Online Retail,5969,Vancouver,WA,TRM_465704,62,moderate
TXN_00003951,CUST_000257,9985,Discover,2024-07-15,11:56:27,14.17,Walmart,Grocery,5499,Oakland,CA,TRM_979260,00,moderate
TXN_00003965,CUST_000423,2950,Discover,2024-07-15,13:03:47,210.51,Micro Center,Electronics,5732,Aurora,IL,TRM_773915,00,conservative
TXN_00000989,CUST_000668,7585,Visa,2024-07-15,15:17:24,181.78,eBay,Online Retail,5999,Warren,MI,TRM_528332,00,conservative
TXN_00001532,CUST_000644,9696,Discover,2024-07-15,16:02:19,34.06,Chipotle,Restaurant,5812,Sterling Heights,MI,TRM_383949,00,conservative
TXN_00003550,CUST_000247,0009,Visa,2024-07-15,16:29:21,1.12,Best Western,Hotel,3501,Dayton,OH,TRM_984785,00,high_spender
TXN_00004255,CUST_000434,0981,Visa,2024-07-15,17:08:21,69.6,Etsy,Online Retail,5999,Cincinnati,OH,TRM_107977,00,conservative
TXN_00000198,CUST_000133,9891,Mastercard,2024-07-15,18:35:05,47.75,Bowling Alley,Entertainment,7841,Raleigh,NC,TRM_156411,00,conservative
TXN_00000357,CUST_000626,3293,American Express,2024-07-15,18:44:05,61.49,Mobil,Gas Station,5542,Philadelphia,PA,TRM_762761,00,moderate
TXN_00003799,CUST_000051,7277,Mastercard,2024-07-15,19:52:35,61.34,Olive Garden,Restaurant,5812,Allentown,PA,TRM_466803,00,high_spender
TXN_00004615,CUST_000385,9321,Visa,2024-07-15,20:58:23,22.6,McDonald's,Restaurant,5814,Cleveland,OH,TRM_334807,00,moderate
TXN_00002004,CUST_000659,1420,American Express,2024-07-16,00:56:11,148.24,Nordstrom,Department Store,5399,Sterling Heights,MI,TRM_920250,00,high_spender
TXN_00000912,CUST_000309,6420,Mastercard,2024-07-16,06:12:09,1954.78,Micro Center,Electronics,5045,Everett,WA,TRM_735711,00,moderate
TXN_00000947,CUST_000775,2212,Visa,2024-07-16,07:44:20,1.67,Macy's,Department Store,5311,Columbus,GA,TRM_187914,00,moderate
TXN_00001036,CUST_000677,2859,Mastercard,2024-07-16,09:50:01,78.92,Exxon,Gas Station,5541,Bethlehem,PA,TRM_125970,00,moderate
TXN_00004678,CUST_000774,5658,Visa,2024-07-16,10:13:14,189.67,Apple Store,Electronics,5732,Naperville,IL,TRM_283258,00,conservative
TXN_00000794,CUST_000094,4196,Discover,2024-07-16,11:23:12,97.9,Subway,Restaurant,5814,Atlanta,GA,TRM_247101,00,high_spender
TXN_00004700,CUST_000627,5989,Discover,2024-07-16,12:59:29,34.78,McDonald's,Restaurant,5812,Reading,PA,TRM_450713,00,moderate
TXN_00001375,CUST_000628,2308,Discover,2024-07-16,16:13:54,547.7,Amazon,Online Retail,5969,Columbus,GA,TRM_947908,00,high_spender
TXN_00002042,CUST_000590,1779,Discover,2024-07-16,17:18:54,68.07,Shell,Gas Station,5541,Cleveland,OH,TRM_285776,00,conservative
TXN_00000977,CUST_000757,5599,American Express,2024-07-16,18:59:49,123.47,Car Rental,Transportation,4121,Long Beach,CA,TRM_613146,00,conservative
TXN_00003584,CUST_000102,4650,Discover,2024-07-16,19:47:50,171.74,Theme Park,Entertainment,7841,Sandy Springs,GA,TRM_837290,00,high_spender
TXN_00004150,CUST_000415,0203,Visa,2024-07-16,19:51:44,172.88,Walmart,Grocery,5499,Phoenix,AZ,TRM_148554,00,high_spender
TXN_00001678,CUST_000740,1184,Discover,2024-07-16,21:01:38,191.27,Walmart.com,Online Retail,5999,Aurora,IL,TRM_518668,00,conservative
TXN_00003061,CUST_000526,3815,American Express,2024-07-16,21:40:36,74.39,Olive Garden,Restaurant,5812,Newark,NJ,TRM_198835,00,conservative
TXN_00004829,CUST_000299,1452,Discover,2024-07-16,22:22:18,115.74,Dental Office,Healthcare,8011,San Francisco,CA,TRM_115844,65,high_spender
TXN_00004547,CUST_000281,4976,Mastercard,2024-07-17,05:07:13,128.17,Whole Foods,Grocery,5499,San Diego,CA,TRM_692088,00,moderate
TXN_00001519,CUST_000030,4316,Discover,2024-07-17,05:25:57,163.89,Amazon,Online Retail,5969,Charlotte,NC,TRM_491584,51,conservative
TXN_00002901,CUST_000203,7423,Mastercard,2024-07-17,05:53:13,119.68,Publix,Grocery,5499,Fresno,CA,TRM_660102,00,high_spender
TXN_00003891,CUST_000580,3936,Mastercard,2024-07-17,06:54:29,60.74,Marathon,Gas Station,5541,Schaumburg,IL,TRM_834389,00,conservative
TXN_00004754,CUST_000066,3736,Visa,2024-07-17,11:50:00,360.01,GameStop,Electronics,5732,Columbus,OH,TRM_517364,00,conservative
TXN_00004494,CUST_000007,4104,Visa,2024-07-17,11:50:40,70.63,Target,Grocery,5499,Tallahassee,FL,TRM_815565,00,high_spender
TXN_00000263,CUST_000509,6901,Mastercard,2024-07-17,12:03:54,44.92,Health Mart,Pharmacy,5912,New Rochelle,NY,TRM_555960,00,conservative
TXN_00001432,CUST_000559,1723,Visa,2024-07-17,13:40:10,139.76,Costco,Grocery,5499,Hialeah,FL,TRM_221744,00,high_spender
TXN_00004445,CUST_000208,7748,Discover,2024-07-17,16:27:00,343.2,Nordstrom,Department Store,5311,Bethlehem,PA,TRM_741152,00,moderate
TXN_00002231,CUST_000676,0165,American Express,2024-07-17,17:06:18,64.53,BP,Gas Station,5542,St. Petersburg,FL,TRM_628704,00,high_spender
TXN_00004531,CUST_000738,1640,American Express,2024-07-17,17:22:43,12.95,Walgreens,Pharmacy,5122,Chicago,IL,TRM_907167,00,moderate
TXN_00002486,CUST_000070,0874,American Express,2024-07-17,17:41:52,33.82,Sunoco,Gas Station,5542,Newport News,VA,TRM_903110,00,conservative
TXN_00004932,CUST_000645,2964,American Express,2024-07-17,18:57:43,89.34,Casino,Entertainment,7832,Cleveland,OH,TRM_627475,05,moderate
TXN_00000349,CUST_000273,7171,Mastercard,2024-07-17,19:35:42,251.32,Walmart.com,Online Retail,5999,Cleveland,OH,TRM_107610,00,moderate
TXN_00003266,CUST_000617,8480,Visa,2024-07-17,19:43:51,41.68,Bowling Alley,Entertainment,7832,Houston,TX,TRM_441466,00,moderate
TXN_00003740,CUST_000790,6279,Mastercard,2024-07-17,20:47:55,180.64,Subway,Restaurant,5812,Fort Worth,TX,TRM_638667,00,high_spender
TXN_00001417,CUST_000347,3649,Discover,2024-07-17,21:11:55,49.52,Dillard's,Department Store,5311,Phoenix,AZ,TRM_813385,00,moderate
TXN_00002383,CUST_000231,1487,Discover,2024-07-17,23:51:17,96.21,Concert Hall,Entertainment,7832,Erie,PA,TRM_398763,00,moderate
TXN_00004910,CUST_000256,9298,American Express,2024-07-18,01:55:45,4.82,Walgreens,Pharmacy,5912,Worcester,MA,TRM_555287,00,moderate
TXN_00001791,CUST_000098,3204,Discover,2024-07-18,02:00:30,257.3,Target,Grocery,5499,Buffalo,NY,TRM_259397,00,high_spender
TXN_00002616,CUST_000258,8292,Mastercard,2024-07-18,08:35:49,1.08,Target,Grocery,5411,Spokane,WA,TRM_735928,00,high_spender
TXN_00003519,CUST_000082,1548,Mastercard,2024-07-18,08:50:21,127.31,Whole Foods,Grocery,5499,Worcester,MA,TRM_836495,00,moderate
TXN_00004837,CUST_000466,7305,Visa,2024-07-18,09:12:35,270.85,Wegmans,Grocery,5411,Cincinnati,OH,TRM_478668,00,high_spender
TXN_00003179,CUST_000775,5573,Visa,2024-07-18,09:31:26,78.48,Target,Grocery,5411,Worcester,MA,TRM_182583,00,moderate
TXN_00001917,CUST_000375,7937,Visa,2024-07-18,12:00:15,338.21,Best Buy,Electronics,5732,Orlando,FL,TRM_103759,00,moderate
TXN_00004264,CUST_000320,3934,American Express,2024-07-18,13:30:46,194.6,Etsy,Online Retail,5999,Scranton,PA,TRM_504019,00,moderate
TXN_00003835,CUST_000700,7902,Visa,2024-07-18,14:26:55,258.71,Nordstrom,Department Store,5399,Savannah,GA,TRM_966830,00,moderate
TXN_00002875,CUST_000087,1714,Mastercard,2024-07-18,14:43:01,61.61,Chipotle,Restaurant,5814,San Diego,CA,TRM_561585,00,high_spender
TXN_00000038,CUST_000439,4175,Mastercard,2024-07-18,15:21:20,552.19,Sheraton,Hotel,7011,Akron,OH,TRM_378819,00,moderate
TXN_00000822,CUST_000230,5405,Visa,2024-07-18,15:26:20,170.09,Walmart.com,Online Retail,5969,Buffalo,NY,TRM_337248,00,conservative
TXN_00003325,CUST_000685,1117,Discover,2024-07-18,15:36:02,595.94,Wayfair,Online Retail,5999,Mesa,AZ,TRM_441558,00,high_spender
TXN_00001852,CUST_000431,1369,Discover,2024-07-18,15:37:59,373.31,Walmart.com,Online Retail,5969,Sandy Springs,GA,TRM_772158,00,moderate
TXN_00002859,CUST_000645,1381,American Express,2024-07-18,17:28:33,102.37,Sunoco,Gas Station,5542,Parma,OH,TRM_771029,05,moderate
TXN_00003765,CUST_000780,6394,American Express,2024-07-18,17:33:27,171.77,Toll Road,Transportation,4111,Phoenix,AZ,TRM_213160,14,high_spender
TXN_00000027,CUST_000650,8990,Discover,2024-07-18,18:41:48,58.59,Shell,Gas Station,5541,Oakland,CA,TRM_810264,14,moderate
TXN_00000093,CUST_000615,9067,Discover,2024-07-18,19:41:35,18.79,Panera,Restaurant,5814,Peoria,IL,TRM_245731,05,conservative
TXN_00001355,CUST_000180,4302,Discover,2024-07-18,19:52:07,354.78,Gas Station ATM,ATM,6011,Gilbert,AZ,TRM_573122,00,high_spender
